Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-018029,2020-04,01/01/2019 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4712,MARGARETTA AVE,69, , ,4712,MARGARETTA,893518,1034869
20-015410,2020-04,01/01/2020 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4314,MARYLAND AVE,38, , ,4314,MARYLAND,891393.3,1022752
20-000941,2020-04,01/02/2020 15:30,Y, , ,1, ,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,4965,NAGEL AVE,6, , ,4965,NAGEL,880529.1,996293.3
20-016299,2020-04,01/05/2020 07:15,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5453,DELMAR BLVD,49, , ,5453,DELMAR,883561.5,1027076
20-017400,2020-04,01/10/2020 08:00,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,3013,BELL AVE,59, , ,3013,BELL,899950.4,1022271
20-002080,2020-04,01/13/2020 11:42,Y, , ,1, ,112010,4,FRAUD-CREDIT DEVICE/OVER $150,1915,OLIVE ST,36,SAINT LOUIS POLICE CREDIT UNION,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
20-002468,2020-04,01/15/2020 13:06,Y, , ,1, , 83000,6,ARSON-KNOWINGLY BURNING/SUCCESS,4426,ATHLONE AVE,68, , ,4426,ATHLONE,898317,1035123
20-002620,2020-04,01/16/2020 09:09,Y, , ,1, , 82000,5,ARSON-2ND DEGREE/SUCCESS,4400,COTE BRILLIANTE AVE,57, , ,4400,COTE BRILLIANTE,893063.4,1028618
20-016555,2020-04,01/17/2020 06:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5719,GOODFELLOW PL,50, , ,5719,GOODFELLOW,885250.8,1037395
20-016307,2020-04,01/20/2020 20:40,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5235,PAGE BLVD,51, , ,5235,PAGE,885971.3,1029633
20-013810,2020-04,01/21/2020 10:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3215,BAILEY AVE,67, ,NUISANCE ABATEMENT PROPERTY,3215,BAILEY,901979.7,1030386
20-016562,2020-04,01/22/2020 02:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5322,MAFFITT AVE,50, , ,5322,MAFFITT,887580.3,1033832
20-013817,2020-04,01/23/2020 07:45,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3429,DELMAR BLVD,77, ,NUISANCE ABATEMENT PROPERTY,3400,DELMAR,898127.3,1021940
20-003772,2020-04,01/23/2020 10:00,Y, , ,1, ,183130,5,DRUGS-SALE/HEROIN,0,CLARA AVE / ROOSEVELT PL,50, , , , ,885729.4,1035527
20-014471,2020-04,01/24/2020 01:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5854,SELBER CT,50, , ,5854,SELBER,885088.8,1037930
20-016541,2020-04,01/25/2020 07:05,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,747,N EUCLID AVE,53, , ,747,EUCLID,888536.7,1026654
20-016243,2020-04,01/25/2020 19:49,Y, , ,1, ,262300,2,PORNAGRAPHY-PBLIC DSPLAY SEX MATERIALS,4341,CHIPPEWA ST,15, , ,4341,CHIPPEWA,887259.1,1004119
20-016309,2020-04,01/27/2020 15:04,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5887,ETZEL AVE,48, , ,5887,ETZEL,880745.1,1031008
20-013828,2020-04,01/28/2020 00:25,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1720,N 20TH ST,60, ,NUISANCE ABATEMENT PROPERTY,1720,20TH,904639.2,1024058
20-013831,2020-04,01/28/2020 07:04,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1411,N 8TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1411,8TH,909212.8,1022017
20-016296,2020-04,01/28/2020 17:27,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,941,GOODFELLOW BLVD,48, , ,941,GOODFELLOW,881329.5,1029079
20-005078,2020-04,01/31/2020 09:48,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",0,S 39TH ST / PARK AVE,29, , , , ,893314.4,1015201
20-018853,2020-04,01/31/2020 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5517,LABADIE AVE,50, , ,5517,LABADIE,886721.9,1035909
20-015613,2020-04,02/01/2020 00:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5524,RIVERVIEW BLVD,72,ROY S TRANSMISSION, ,5524,RIVERVIEW,891320.4,1045598
