Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-034962,2020-08,01/01/1900 00:00,Y, , ,1, ,265321,0,LEAVING SCENE OF ACCIDENT,0,UNKNOWN,0,O FALLON POLICE,O FALLON PD,2544,BELT,0,0
20-011916,2020-08,01/01/2010 16:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4100,SAINT LOUIS AVE,56, , ,4100,SAINT LOUIS,0,0
20-034998,2020-08,01/01/2014 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3500,UTAH ST,25, , ,3500,UTAH,0,0
20-034927,2020-08,01/01/2016 12:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,5300,CONDE ST,66, ,INCIDENTS ALSO AT 3731 CALIFORNIA AV,5300,CONDE,0,0
20-038142,2020-08,01/01/2019 12:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,2900,N 22ND ST,60, ,APT A,2900,22ND,0,0
20-036204,2020-08,01/01/2020 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4645,CARTER AVE,69, , ,4645,CARTER,895155.4,1036878
20-000426,2020-08,01/03/2020 10:13,Y, , ,1, ,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,1400,SEMPLE AVE,78, ,SOUTH ALLEY,1400,SEMPLE,885019.1,1031149
20-000598,2020-08,01/04/2020 08:20,Y, , ,1, ,182250,5,DRUGS-POSSESSION/COCAINE,1425,CLARA AVE,78, , , , ,883719.8,1032292
20-001903,2020-08,01/11/2020 23:21,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,ARSENAL ST / LEMP AVE,22, , , , ,900981.3,1006457
20-003270,2020-08,01/18/2020 02:00, , , ,-1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4135,KAY,4, , ,4135,KAY,0,0
20-035009,2020-08,01/28/2020 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,5534,BANCROFT AVE,7, , ,5534,BANCROFT,881116.1,1003933
20-038381,2020-08,02/01/2020 10:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,1933,SIDNEY ST,22, ,APT E,1933,SIDNEY,901227.2,1008761
20-034385,2020-08,02/02/2020 00:01,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3523,OHIO AVE,19, , ,3523,OHIO,897786,1004179
20-006269,2020-08,02/07/2020 11:15,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,1337,MARCUS AVE,54, , ,1337,MARCUS,890228.4,1028991
20-035659,2020-08,02/12/2020 10:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6456,FYLER AVE,9, , ,6456,FYLER,877818.5,1008325
20-036809,2020-08,02/17/2020 12:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4666,ALASKA AVE,16, , ,4666,ALASKA,893007.8,997695.3
20-008024,2020-08,02/18/2020 14:48,Y, , ,1, , 51112,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,4451,FOREST PARK AVE,38, ,@PARKVIEW APTSAPT 303,4451,FOREST PARK,889537.3,1021388
