Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-064672,2020-01,01/01/2016 00:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,6000,HARNEY AVE,76, , ,6000,HARNEY,0,0
20-001342,2020-01,01/01/2017 15:01,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,622,W COURTOIS ST,2, , ,622,COURTOIS,887302.4,988957.3
20-000276,2020-01,01/01/2020 00:01,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1609,S 13TH ST,33, , ,1609,13TH,904149.1,1012541
20-000390,2020-01,01/01/2020 00:01,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,4677,ROSA AVE,6, , ,4677,ROSA,883704.8,999396.9
20-000025,2020-01,01/01/2020 00:01,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,0,S 11TH ST / SPRUCE ST,35, , , , ,906542.5,1016191
20-000274,2020-01,01/01/2020 00:01,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,720,OLIVE ST,35,GALLERY 720,@LACLEDE GAS HQ,720,OLIVE,908135.8,1017699
20-000050,2020-01,01/01/2020 00:01,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3001,INDIANA AVE,22, , ,3001,INDIANA,899311.6,1007321
20-000062,2020-01,01/01/2020 00:01,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4249,ST LOUIS AVE,56, , ,4249,ST LOUIS,895928,1030043
20-000454,2020-01,01/01/2020 00:01,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4220,N GRAND BLVD,67,ROSATI CENTER, ,4220,GRAND,902439.9,1031915
20-000057,2020-01,01/01/2020 00:01,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4750,PLOVER AVE,72, , ,4750,PLOVER,889451.5,1041820
20-000105,2020-01,01/01/2020 00:01,Y, , ,1, , 64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",4422,MICHIGAN AVE,17, , ,4422,MICHIGAN,894752.7,998633.6
20-000112,2020-01,01/01/2020 00:01,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",2835,CHEROKEE ST,19, , ,2835,CHEROKEE,897002.4,1005341
20-003768,2020-01,01/01/2020 00:01,Y, , ,1, , 95100,5,"STALKING (HARASSMENT ONLY, NO THREAT)",4251,LINDELL BLVD,38, , ,4251,LINDELL,891587.9,1022423
20-000238,2020-01,01/01/2020 00:01,Y, , ,1, ,112010,3,FRAUD-CREDIT DEVICE/OVER $150,3131,IOWA AVE,30, ,APT 401,3131,IOWA,897891.4,1006928
20-001534,2020-01,01/01/2020 00:01,Y, , ,1, ,152200,2,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4420,CHOUTEAU AVE,39, , ,4420,CHOUTEAU,889100.8,1018264
20-000397,2020-01,01/01/2020 00:01,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4400,SAN FRANCISCO AVE,69, , ,4400,SAN FRANCISCO,895609.3,1033175
20-000210,2020-01,01/01/2020 00:02,Y, , ,1, , 72113,6,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,0,MCLARAN AVE / RIVERVIEW BLVD,74, , , , ,894000,1049676
20-000003,2020-01,01/01/2020 00:09,Y, , ,1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5824,S GRAND BLVD,1, ,APARTMENT,5824,GRAND,889918.6,995051.2
20-000009,2020-01,01/01/2020 00:09,Y, , ,1, , 41021,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,4937,LOTUS AVE,55, , ,4937,LOTUS,889485.4,1031431
20-000010,2020-01,01/01/2020 00:10,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1606,HELEN ST,60, , ,1606,HELEN,905408.1,1023689
20-000002,2020-01,01/01/2020 00:15,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,110,N 17TH ST,36, , ,110,17TH,904545.1,1018315
20-000049,2020-01,01/01/2020 00:15,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2247,ST LOUIS AVE,60, , ,2247,ST LOUIS,903927.8,1026500
20-000078,2020-01,01/01/2020 00:15,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3310,LEMP AVE,22, , ,3310,LEMP,900796.7,1005178
20-000399,2020-01,01/01/2020 00:16,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4286,SACRAMENTO AVE,68, , ,4286,SACRAMENTO,896537.1,1032467
20-000005,2020-01,01/01/2020 00:18,Y, , ,1, , 10000,3,HOMICIDE,3004,S JEFFERSON AVE,22, , , , ,899171.6,1007325
20-000005,2020-01,01/01/2020 00:18,Y, , ,1, , 10000,3,HOMICIDE,3004,S JEFFERSON AVE,22, , , , ,899171.6,1007325
20-000005,2020-01,01/01/2020 00:18,Y, , ,1, , 10000,3,HOMICIDE,3004,S JEFFERSON AVE,22, , , , ,899171.6,1007325
