Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-028185,2020-06,01/01/2020 00:01,Y, , ,1, ,262300,5,PORNAGRAPHY-PBLIC DSPLAY SEX MATERIALS,5615,BARTMER AVE,48, ,VICTIM S RESIDENCE,5615,BARTMER,882626.1,1030283
20-026933,2020-06,01/01/2020 08:23,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1531,PINE ST,36, , ,1531,PINE,905381.8,1018367
20-025018,2020-06,01/05/2020 20:20,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,4930,MCPHERSON AVE,38, , ,4930,MCPHERSON,888122.5,1025086
20-026327,2020-06,01/06/2020 12:00,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",6301,PRESCOTT AVE,79,DEVAN SEALANTS, ,6301,PRESCOTT,900435.7,1039398
20-028683,2020-06,01/12/2020 19:00,Y, , ,1, , 51222,4,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,1114,LUCAS AVE,35, , ,1114,LUCAS,907416.8,1019101
20-011790,2020-06,01/15/2020 13:00,Y, , ,1, , 44015,3,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,2720,TEXAS AVE,30, ,APARTMENT COMPLEX,2720,TEXAS,899029.1,1008796
20-026192,2020-06,01/20/2020 13:50,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,LEXINGTON AVE / N NEWSTEAD AVE,56, , , , ,895269.4,1032456
20-026319,2020-06,01/21/2020 12:11,Y, , ,1, ,112010,1,FRAUD-CREDIT DEVICE/OVER $150,6002,LEONA ST,3, , ,6002,LEONA,886953.4,996538.9
20-024610,2020-06,01/27/2020 23:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2607,GRAVOIS AVE,24, , ,2607,GRAVOIS,899242.4,1009280
20-016344,2020-06,01/30/2020 12:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,827,N KINGSHIGHWAY BLVD,51, , ,827,KINGSHIGHWAY,887750.6,1026917
