Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-014387,2020-03,01/01/1900 00:00,Y, , ,1, , 51212,4,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,2519,N SPRING AVE,59, , ,2519,SPRING,898850.5,1026873
19-064944,2020-03,01/01/2011 12:00,Y, , ,1, ,179210,4,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,2200,SULLIVAN,36, , ,2200,SULLIVAN,0,0
20-009267,2020-03,01/01/2020 07:00,Y, , ,1, , 41024,6,ASSLT-AGGRAV-FIREARM-1ST-CHILD-DOMESTIC,1022,BITTNER ST,74, , ,1022,BITTNER,896465.9,1047368
20-009267,2020-03,01/01/2020 07:00,Y, , ,1, , 41014,6,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,1022,BITTNER ST,74, , ,1022,BITTNER,896465.9,1047368
20-010456,2020-03,01/01/2020 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6801,LANSDOWNE AVE,9, , ,6801,LANSDOWNE,874939.2,1004281
20-011429,2020-03,01/01/2020 08:30,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",5330,TAMM AVE,8, , ,5330,TAMM,877627.7,1001143
20-010916,2020-03,01/01/2020 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4866,RIVERVIEW BLVD,72, , ,4866,RIVERVIEW,888830.1,1043428
20-000689,2020-03,01/01/2020 20:34,Y, , ,1, , 95100,4,"STALKING (HARASSMENT ONLY, NO THREAT)",1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
20-012104,2020-03,01/02/2020 10:00,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,3109,S GRAND BLVD,15, , ,3109,GRAND,893764.1,1008345
20-000430,2020-03,01/03/2020 09:00,Y, , ,1, , 42014,5,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,5453,ENRIGHT AVE,49, , ,5458,ENRIGHT,883656.4,1027411
20-012844,2020-03,01/03/2020 23:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,205,N 9TH ST,35, ,@MARK TWAIN HOTEL,205,9TH,907619.9,1017799
20-012084,2020-03,01/04/2020 02:30,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5310,N EUCLID AVE,71, ,@EUCLID PZ,5310,EUCLID,894542.1,1038824
20-012833,2020-03,01/04/2020 12:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,3332,BELT AVE,50, , ,3332,BELT,887374.2,1036415
20-000770,2020-03,01/05/2020 11:50,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,5000,LOUISIANA AVE,16, ,REAR, , ,892150.8,997058.7
20-012831,2020-03,01/06/2020 02:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1500,OLIVE ST,36, ,NUISANCE ABATEMENT PROPERTY,1500,OLIVE,905442.8,1018627
20-012827,2020-03,01/06/2020 23:47,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3622,PAGE BLVD,77, ,@EBONY MOTEL,3622,PAGE,897824.8,1024131
20-011206,2020-03,01/07/2020 11:00,Y, , ,1, ,175500,5,SEX OFFNS-SX MISCONDUCT/FIRST,5400,COTE BRILLIANTE AVE,50, , ,5400,COTE BRILLIANTE,0,0
20-001286,2020-03,01/08/2020 10:00,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4024,PLEASANT ST,67, , ,4024,PLEASANT,902107.1,1030212
20-009950,2020-03,01/08/2020 12:00,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
20-009952,2020-03,01/08/2020 12:03,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
20-009951,2020-03,01/08/2020 12:03,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
20-012728,2020-03,01/09/2020 03:09,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,300,N 4TH ST,35, ,@MANSION HOUSE,300,4TH,909633.8,1017651
20-001476,2020-03,01/09/2020 08:54,Y, , ,1, ,182400,2,DRUGS-POSSESSION/MARIJUANA,5101,MCREE AVE,12, ,@SCHOOL - GATEWAY STEM ACADEMY,5101,MCREE,886056.6,1015300
20-012819,2020-03,01/09/2020 11:19,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3015,N 23RD ST,60, ,NUISANCE ABATEMENT PROPERTY,3015,23RD,904022.6,1027132
20-011660,2020-03,01/10/2020 17:44,Y, , ,1, , 52322,4,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,418,S TUCKER BLVD,35,U HAUL, , , ,906090.9,1016042
20-012723,2020-03,01/11/2020 11:40,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, ,NUISANCE ABATEMENT PROPERTY,721,TUCKER,906857.6,1019492
19-001866,2020-03,01/12/2019 13:57, , , ,-1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",12,HAMPTON VILLAGE,7,CLUB FITNESS, ,12,HAMPTON VILLAGE,0,0
20-012594,2020-03,01/12/2020 13:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4400,MARYLAND AVE,38, , ,6931,BRUNO,890275.1,1023029
20-001992,2020-03,01/12/2020 16:42,Y, , ,1, , 41014,3,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,3216,KEOKUK ST,16, , ,3216,KEOKUK,894693.4,1002188
20-001992,2020-03,01/12/2020 16:42,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3216,KEOKUK ST,16, , ,3216,KEOKUK,894693.4,1002188
20-012695,2020-03,01/12/2020 22:44,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1500,OLIVE ST,36, ,NUISANCE ABATEMENT PROPERTY,1500,OLIVE,905442.8,1018627
20-012548,2020-03,01/13/2020 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5512,WABADA AVE,50, , ,5512,WABADA,885587.6,1033797
20-011747,2020-03,01/13/2020 16:28,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,60,HAMPTON VILLAGE PLZ,7,SCHNUCKS-HAMPTON VILLAGE,@SCHNUCKS - HAMPTON VILLAGE,60,HAMPTON VILLAGE,879568.8,1004479
20-012718,2020-03,01/14/2020 04:31,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2026,MADISON ST,60, ,NUISANCE ABATEMENT PROPERTY,2026,MADISON,904699.7,1024267
20-002429,2020-03,01/14/2020 21:00,Y, , ,1, , 41015,4,ASSLT-AGGRAV-FIREARM-2ND-ADULT-DOMESTIC,1413,N 8TH ST,62, ,@HEADQUARTERS,1915,OLIVE,909196.1,1021937
20-002514,2020-03,01/15/2020 15:34,Y, , ,1, , 91123,6,SIMPLE ASSAULT-CHILD/NO INJURY,4265,ATHLONE AVE,68, ,@SCHOOL - YEATMAN,4265,ATHLONE,897803.3,1034677
20-002824,2020-03,01/16/2020 04:43,Y, , ,1, ,112020,3,FRAUD-CREDIT DEVICE/UNDER $150,3182,S GRAND BLVD,25,BP GAS STATION, ,3182,GRAND,893829,1007322
20-013276,2020-03,01/16/2020 12:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5390,DR MARTIN LUTHER KING DR,78, , ,5390,DR MARTIN LUTHER KING,885691.9,1031748
20-013158,2020-03,01/16/2020 13:21,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3314,WYOMING ST,25, , ,3324,WYOMING,895118.9,1006786
20-013556,2020-03,01/16/2020 16:35,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1623,COLE ST,61, ,NUISANCE ABATEMENT PROPERTY,1623,COLE,905664.1,1021110
20-009503,2020-03,01/16/2020 18:00,Y, , ,1, , 92000,2,SIMPLE ASSAULT-HARRASSMENT,4402,MIAMI ST,15, , ,4402,MIAMI,887183.1,1005216
20-010812,2020-03,01/17/2020 08:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,2839,MIAMI ST,19, , ,2839,MIAMI,896723.1,1004040
20-012580,2020-03,01/18/2020 14:23,Y, , ,1, ,103000,1,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3312,MERAMEC ST,16, , ,3312,MERAMEC,894035.8,1000263
20-012750,2020-03,01/18/2020 15:00,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",4673,S SPRING AVE,16, , ,4673,SPRING,890400.8,999484.2
