Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-016193,2020-05,01/01/2016 14:21,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,2800,CHIPPEWA ST,19, , ,2800,CHIPPEWA,0,0
20-022719,2020-05,01/01/2020 11:29,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4136,W KOSSUTH AVE,68, , ,4136,KOSSUTH,897971.8,1033059
20-021529,2020-05,01/01/2020 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5109,WATERMAN BLVD,38, , ,5109,WATERMAN,886477.8,1025220
20-020441,2020-05,01/01/2020 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5205,GILMORE AVE,72, , ,5205,GILMORE,890475.5,1044068
20-020953,2020-05,01/01/2020 13:54,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,4175,HOLLY HILLS AVE,5, , ,4175,HOLLY HILLS,885047.8,996441.9
20-022243,2020-05,01/02/2020 13:30,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,7836,BANDERO DR,1, , ,7836,BANDERO,886197.3,989867
20-016318,2020-05,01/04/2020 17:34,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5855,ROMAINE PL,78, , ,5855,ROMAINE,882097.5,1032842
20-016347,2020-05,01/08/2020 18:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1380,GRANVILLE PL,78, , ,1380,GRANVILLE,884370,1031264
20-022198,2020-05,01/12/2020 10:00,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3202,S KINGSHIGHWAY BLVD,15,HOME DEPOT, ,3202,KINGSHIGHWAY,886045.3,1008369
20-021395,2020-05,01/12/2020 10:00,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,3202,S KINGSHIGHWAY BLVD,15, ,@HOME DEPOT,3202,KINGSHIGHWAY,886045.3,1008369
20-016292,2020-05,01/12/2020 19:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,710,GOODFELLOW BLVD,48, , ,710,GOODFELLOW,881216.5,1027231
20-002598,2020-05,01/15/2020 15:00,Y, , ,1, ,183999,6,DRUGS-SALE/OTHR UNSPEC DRUG,4014,UNION BLVD,70, , ,4014,UNION,890074.4,1037079
20-018914,2020-05,01/18/2020 12:20,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,904,S 4TH ST,35, , ,904,4TH,908271.3,1013662
20-023163,2020-05,01/19/2020 10:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,4111,E LEE AVE,68, , ,4111,LEE,899222.7,1033013
20-003330,2020-05,01/20/2020 23:06,Y, , ,1, , 82000,2,ARSON-2ND DEGREE/SUCCESS,2727,WATSON RD,11, , ,6015,MAGNOLIA,880397,1011063
20-003330,2020-05,01/20/2020 23:06,Y, , ,1, , 52222,2,BURGLARY-BUSINESS/NIT/UNLAW ENT/UNOCCUPIED,2727,WATSON RD,11, , ,6015,MAGNOLIA,880397,1011063
20-020276,2020-05,01/22/2020 12:00,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,4049,WEST PINE BLVD,38, , ,4049,WEST PINE,892973.8,1021514
20-020231,2020-05,01/27/2020 13:00,Y, , ,1, , 65601,1,"LARCENY-MTR VEH PARTS $500 - $24,999",4327,GUSTINE AVE,16,ST LOUIS STORAGE UNITS, ,4327,GUSTINE,890021.1,1001563
20-016352,2020-05,01/28/2020 23:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1605,ARLINGTON AVE,50, , ,1605,ARLINGTON,885782.6,1032340
20-019254,2020-05,02/01/2020 08:00,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2702,OSAGE ST,16, , ,2702,OSAGE,897320.1,1001088
20-020462,2020-05,02/01/2020 16:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,3648,KOSCIUSKO ST,18, , ,3648,KOSCIUSKO,901094.2,1002717
