Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,Ycoord
20-032651,2020-11,1/1/1966 0:01,Y, , ,1, ,179220,1,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,4900,BANCROFT AVE,7, , ,4924,BANCROFT,884351,1003449
20-033147,2020-11,1/1/2017 0:01,Y, , ,1, ,21000,5,RAPE -- FORCIBLE,4700,WASHINGTON AVE,38, , ,4717,WASHINGTON,889183.6,1025751
20-052101,2020-11,1/1/2019 0:01,Y, , ,1, ,21000,4,RAPE -- FORCIBLE,1300,SULLIVAN AVE,63, , ,1314,SULLIVAN,906581,1026620
20-052101,2020-11,1/1/2019 0:01,Y, , ,1, ,21000,4,RAPE -- FORCIBLE,1300,SULLIVAN AVE,63, , ,1314,SULLIVAN,906581,1026620
20-052101,2020-11,1/1/2019 0:01,Y, , ,1, ,21000,4,RAPE -- FORCIBLE,1300,SULLIVAN AVE,63, , ,1314,SULLIVAN,906581,1026620
20-048681,2020-11,1/1/1997 12:00,Y, , ,1, ,21000,3,RAPE -- FORCIBLE,3400,HARTFORD ST,25, , ,3411,HARTFORD,895004.8,1007988
20-048681,2020-11,1/1/1997 12:00,Y, , ,1, ,21000,3,RAPE -- FORCIBLE,3400,HARTFORD ST,25, , ,3411,HARTFORD,895004.8,1007988
20-048681,2020-11,1/1/1997 12:00,Y, , ,1, ,21000,3,RAPE -- FORCIBLE,3400,HARTFORD ST,25, , ,3411,HARTFORD,895004.8,1007988
20-044254,2020-11,1/1/2016 12:00,Y, , ,1, ,175500,3,SEX OFFNS-SX MISCONDUCT/FIRST,3700,CALIFORNIA AVE,19, ,ALSO OCCURRED AT 8751 PARTRIDGE AVE. 63147,3731,CALIFORNIA,896912.5,1002899
20-052383,2020-11,1/1/2020 12:00,Y, , ,1, ,72140,2,AUTO THEFT-TRUCK/PERM RETNT/ATTEMPT,4471,BECK AVE,15, , ,4471,BECK,886293.7,1004731
20-050922,2020-11,1/1/2020 15:10,Y, , ,1, ,51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4516,WESTMINSTER PL,38, , ,4516,WESTMINSTER,889768.3,1024630
20-000255,2020-11,1/2/2020 1:02,Y, , ,1, ,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3224,KEOKUK ST,16, , ,3224,KEOKUK,894608.2,1002200
18-016929,2020-11,1/9/2018 10:18,Y, , ,1, ,262300,1,PORNAGRAPHY-PBLIC DSPLAY SEX MATERIALS,5204,QUINCY ST,6, , ,,,880477.1,996830.6
