Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-045219,2020-10,1/1/2020 0:01,Y, , ,1, ,21000,6,RAPE -- FORCIBLE,933,CANAAN AVE,74, , ,933,CANAAN,896321.1,1051430
20-045219,2020-10,1/1/2020 0:01,Y, , ,1, ,21000,6,RAPE -- FORCIBLE,933,CANAAN AVE,74, , ,933,CANAAN,896321.1,1051430
20-045219,2020-10,1/1/2020 0:01,Y, , ,1, ,21000,6,RAPE -- FORCIBLE,933,CANAAN AVE,74, , ,933,CANAAN,896321.1,1051430
20-045219,2020-10,1/1/2020 0:01,Y, , ,1, ,21000,6,RAPE -- FORCIBLE,933,CANAAN AVE,74, , ,933,CANAAN,896321.1,1051430
20-045518,2020-10,1/1/2020 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4668,LEE AVE,69, , ,4668,LEE,894389.3,1035481
20-047765,2020-10,1/1/2020 8:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,1126,GRAHAM ST,42, , ,1126,GRAHAM,879924.6,1017951
20-045860,2020-10,1/1/2020 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5070,BEACON AVE,72, , ,5070,BEACON,891596.3,1042106
20-045904,2020-10,1/1/2020 15:14,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,2700,SEMPLE AVE,50, , ,2700,SEMPLE,886514,1034042
20-045915,2020-10,1/1/2020 17:41,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,2700,SEMPLE AVE,50, , ,2700,SEMPLE,886514,1034042
20-045897,2020-10,1/1/2020 11:27,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,2700,SEMPLE AVE,50, , ,2700,SEMPLE,886514,1034042
20-045900,2020-10,1/1/2020 13:07,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,2700,SEMPLE AVE,50, , ,2700,SEMPLE,886514,1034042
20-045913,2020-10,1/1/2020 16:47,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,2700,SEMPLE AVE,50, , ,2700,SEMPLE,886514,1034042
20-047834,2020-10,1/12/2018 9:46,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4605,DELOR ST,5, , ,4605,DELOR,885140.8,1001259
20-045694,2020-10,2/1/2020 7:00,Y, , ,1, ,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2519,SALENA ST,22, , ,2519,SALENA,901339.6,1009146
20-006574,2020-10,2/9/2020 11:00,Y, , ,1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5622,COTE BRILLIANTE AVE,50, ,RESIDENCE/ HOME,5622,COTE BRILLIANTE,884478.9,1033596
20-006574,2020-10,2/9/2020 11:00,Y, , ,1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5622,COTE BRILLIANTE AVE,50, ,RESIDENCE/ HOME,5622,COTE BRILLIANTE,884478.9,1033596
