Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-040845,2020-09,01/01/2011 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4952,COTE BRILLIANTE AVE,55, , ,4952,COTE BRILLIANTE,889084.7,1031012
20-042153,2020-09,01/01/2012 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,14,N KINGSHIGHWAY BLVD,38, , ,14,KINGSHIGHWAY,887352.3,1022449
20-044406,2020-09,01/01/2018 00:01, , , ,-1, ,179220,5,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,5600,CATES AVE,48, , ,5600,CATES,0,0
20-044406,2020-09,01/01/2018 00:01,Y, , ,1, ,179220,5,SEX OFFNS-CHILD MOLESTATION-SECOND DEGREE,5600,CATES AVE,48, , ,5600,CATES,0,0
20-043031,2020-09,01/01/2018 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4717,ASHLAND CT,55, , ,4717,ASHLAND,892651.7,1033428
20-000001,2020-09,01/01/2020 00:05,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1820,MARKET ST,36, ,@HOTEL - UNION STATION DOUBLETREE,1820,MARKET,903731.7,1018016
20-040661,2020-09,01/01/2020 10:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,0,CHIPPEWA ST / MORGANFORD RD,5, , , , ,887682.8,1003941
20-043019,2020-09,01/01/2020 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4717,ASHLAND CT,55, , ,4717,ASHLAND,892651.7,1033428
20-035390,2020-09,01/01/2020 20:06,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,4100,FINNEY AVE,58, , ,4100,FINNEY,0,0
20-001165,2020-09,01/07/2020 16:47, , , ,-1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1300,AUBERT,53, , ,1300,AUBERT,0,0
20-002083,2020-09,01/13/2020 11:46,Y, , ,1, , 21000,0,RAPE -- FORCIBLE,0,UNKNOWN,0, , ,2700,CHEROKEE,0,0
20-043538,2020-09,01/26/2019 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5024,LOTUS AVE,52, , ,5024,LOTUS,888645.1,1031625
20-044360,2020-09,01/29/2020 08:50,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5522,TENNESSEE AVE,1, , ,5522,TENNESSEE,890987.6,995941.6
20-005004,2020-09,01/30/2020 20:10,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,1515,N KINGSHIGHWAY BLVD,52, ,@WOHL REC CENT,1515,KINGSHIGHWAY,887936,1031116
20-044010,2020-09,02/01/2020 07:51,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,1706,WASHINGTON AVE,36, , ,1706,WASHINGTON,904722.5,1019461
20-043020,2020-09,02/01/2020 08:35,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5405,VIRGINIA AVE,1, , ,5405,VIRGINIA,892838.9,995084.9
20-038717,2020-09,02/07/2020 00:01,Y, , ,1, ,204100,1,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,3333,DELOR ST,16, , ,3333,DELOR,892982.4,996665
20-007143,2020-09,02/11/2020 09:00, , , ,1, , 71030,3,AUTO THEFT-PERM RETNT/JOY RIDE,2312,13TH,21, , ,2312,13TH,0,0
20-007143,2020-09,02/11/2020 09:00, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2312,13TH,21, , ,2312,13TH,0,0
20-044505,2020-09,02/15/2020 00:01,Y, , ,1, ,204100,1,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,7892,GERMANIA ST,1, , ,7892,GERMANIA,886152.2,990165.3
20-007832,2020-09,02/15/2020 08:00,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1350,OLIVE ST,36,KAREN T. LOUIS PARK,CITY PARK,1350,OLIVE,906012.4,1018479
20-007890,2020-09,02/17/2020 21:00,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,CLARK AVE / S JEFFERSON AVE,36, , , , ,901042.6,1017888
20-009387,2020-09,02/18/2020 12:50,Y, , ,1, ,122000,4,EMBEZZLEMENT-VALUE UNDER $150,3710,N GRAND BLVD,67, ,EXXON MOBIL, ,CPD,0,0
20-008508,2020-09,02/18/2020 20:06,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4984,NATURAL BRIDGE AVE,55, , ,4984,NATURAL BRIDGE,891147.3,1035041
20-008530,2020-09,02/19/2020 21:21,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4580,CARTER AVE,69, , ,4580,CARTER,895523,1036454
